"","Statement","topic","wordcount","charcount"
"1096"," The company pays for childcare but it comes through your wages, so me as a man working for a company, Ive got a daughter, I get the same whatever it is, <a3>50 a month extra as my wife does from her company, so its not mothers get paid more, its parents get paid more, that then reduces the discrimination on employing women, so whilst women are getting more money that way, it reduces the discrimination element to it, so","Gender",80,427
"1097"," You can write both state and private pension models. Then we potentially have If a private company had such a good pension model that you could retire at 65 in that company, but you dont get it from that state before you are 70, then it counteracts it anyway. That was actually what happened. Early retirement was changed because it was only for a few. Then they passed laws that everyone had to go by the same principle.","Generations",79,427
"1098","Now were talking about the welfare state, and you said that it doesn't pay for your son to earn more. I think you need to be careful about translating welfare into money, because it's also about whether or not you have a good life. A few years ago I switched from working in the private sector to the public sector because I wanted to have more time for myself. I took a substantial pay cut. It's not just about economic welfare.","Econ. Inequality",81,430
"1099"," Specifically in relation to what you said. The choice between career and babies, a classic dilemma. I dont think most workplaces will suffer from allowing more flexitime, for those with children. Firstly office positions. I understand that it is difficult to start up the welding apparatus at ten o clock at night, sort of. But I believe that one has more flexibility without anyone suffering any big loss, to adjust for that.","Gender",73,430
"1100","  For the faculty that will have to let employees go, that will appear negative. But I also see that well have apparently less educated workers. Apparently. But what good are educated workers if you cant place them anywhere, neither do they want to work. Basically, the mentality of the young will change a bit. Its better if I go to high school than be in education for another 5, 10 years, and then be unable to find work.","Labour market",79,430
"1101"," Those working for the state and municipalities today have really good pension arrangements, and those working in large groups and companies mostly have good pensions. Those who have poor pensions are they who work in small to medium companies and within electrician work and such. They have really bad pension arrangements. For them it is more important to change the state pension per today. The others will benefit from that.","Generations",71,431
"1102","  He or she grew up here  and it is possible that they were invested into with the intention of acquiring an expert, in order to contribute to the economy or another sector. And if the state invested money into him or her, into his or her studies at home or abroad, it has invested into something it is lacking, into what it thinks it will benefit from him or her, but the state must then make available a job in the given area.","Immigration",85,432
"1103"," Because theyre out of it, and theyre not up to date with developments, and they need to attend evening classes so theyre up to date with technology. These problems are ones that women have more than men, and that is unjust, and one probably cant eliminate these problems with fairness regulations, but you can address the money side of it with regard to what is paid out in pension support later on and with regard to wages.","Gender",78,432
"1104"," But we're not talking about advertising, we're talking about interviewing.  So are you trying to say that a certain percentage of interviews need to go to national, British nationals. So how are you going to monitor...so say if 20 British nationals applied, but they didn't want to interview them, they can easily just chuck the CVs to one side, and how are you gonna monitor it. It's something that, it's good in theory, but...","Labour market",75,432
"1105","  Because basically, yes, flexible as to the market and demand, they can regulate the number of employees and respond more rapidly to the demands of the market, as well as for employees, basically those who are incoming, perhaps an employer won't always be hiring the same people, so that incomes could be distributed among the unemployed on the labour market in given time, because it will be easier for them to get their share.","Labour market",75,432
"1106"," Id say that its the other way around, that they spend so much time on the kids who cant keep up. With the elementary schools in our area, the language issue alone is a problem, and in elementary school, they have to learn so much that some kids already learned in nursery school or at home. This means that children who are further along, they are ignored and get bored and distracted in class and lose their way, miss things.","Econ. Inequality",81,433
"1107","Plus the fact that we've discovered that the quality cannot be maintained when you move an entire production apparatus with skilled labour...I think we should stick with Leif's original idea that we need more transparency in the tax system, so that we don't create laws on top of laws. The maintenance of our tax system itself requires a huge amount of resources. It needs to be transparent so that it's easier to start businesses...","Econ. Inequality",74,433
"1108"," If I was an employer, right, and two people, man and woman, 23, 24, both got the same qualifications, I'm much more likely to employ the man, because you think, well, I'm going to invest time and money training this woman who then in six months is going to get pregnant and then I'm going to loseeven if she comes back to work, I'm only going to get her half the time.  Whereas a man you've got 30 more years .","Gender",83,433
"1109"," In Bavaria and Baden-W<fc>rttemberg, they are the regions where companies can support their workers more generously for the same work as compared to Berlin and Brandenburg, Saxony, its much higher. They earn more money for the same work. Higher wages. The rents there are a bit higher than here, so its adjusted a bit, but in general the consumer prices are the same. So people who live down there can afford more than people here.","Labour market",76,434
"1110"," Yeah, absolutely, nobody should be prosecuted.  I'm sure some of, for all of us here, have seen some of our loved ones die in a terrible way, or not the best way, or have heard about people. And they've had thousands and thousands of pounds, trying to save them, and stuff like that, and it hasn't worked.  And it just seems as if that person has suffered.  Now, that would affect people getting older, and how much money is spent.","Generations",81,435
"1111"," Because if the man, say that <a3>1600 a month and the mother, because fathers out the picture and hes free as a bird because he hasnt been told that hes got to pay, that <a3>1600 a month shes got to pay on her own. If its <a3>800 a month because, Dad, hang on a minute, you are going to contribute, it allows the woman to have that situation where its actually more beneficial for them to be at work than it is for them to be at home.","Gender",89,436
"1112","In connection with what L<e6>rke said, there is a biological reason why women should take their 16 weeks of maternity leave, to breast feed which is a minimum. I have a few friends where the man chose to take all the remaining leave, i.e. 36 weeks. The woman was going at full throttle career-wise. He's not talking about his lost pension. So I'm a big supporter of the flexibility that the system offers today, where we as parents decide.","Gender",79,436
"1113","  Yes, about what you just said, that this is where the biggest inequality of genders appears. No, I don't think that I consider me doing the house chores and the cooking, my husband too cooks sometimes, but I will never change the bulb in the car headlights and will never do any technical stuff, and my husband will never do the ironing and I think it a kind of synergy, a sort of an agreement of two people living together. There","Gender",82,436
"1114","I also think that we should be thinking about changing the tax system but I don't know how we would go about it. However, I don't agree with J<f8>rn at all. You simply cannot compare us to the US. In the US there's no safety net. The world would be terrible if the clever people who are able to help us progress weren't rewarded for their work. In addition, I don't begrudge people making more money than me so long as they pay their taxes.","Econ. Inequality",85,437
"1115"," I don't find it disgusting to a certain extent because whatever money I get paid every month I spend quite a decent proportion of that treating my little one, because that's what parents want to do. But because they're getting handed stuff this mandatory element to they either work or they're training, if they don't then they're going to get a right kick up the backside to learn that discipline and you will contribute to society.","Labour market",77,437
"1116"," Adapt the education sort of. I believe we will see a larger share of female leaders ahead. It can be political positions at work, or whatever it could be. I dont see that as a challenge. I believe that on the whole the measures are hazy. There are many male circles in Norway. Many boys clubs and old geezer get-togethers. I dont believe that will go away. At least not in the business I have been in all years. Change of attitude.","Gender",83,438
"1117"," I dont think one has given enough responsibility in respect of saving for the future. People like me and 12 say that we dont think of these things, because it is such a long time ahead, right. But the whole point is that a system like this could change rather drastically, and we have to change the pension system rather drastically, because we cant afford it. Then it is even more important for you, 12 to secure your own old age.","Generations",82,438
"1118"," Okay, so we're calling that a guarantee of an interview, at least an interview, for...it doesn't necessarily mean, you know, I don't believe in taking somebody just because they're from somewhere, because you have to. But they've got to have the skills, if that person doesn't have the skills, you're not gonna want to take them over someone that's just come over from France, or somewhere, are you. You want to take the right person.","Labour market",76,438
"1119"," These are the three ones from information about research and development. The two next ones are the ones that are directly workplace-creating, the others are measures regarding learning to become a worker so to speak. It is two different dimensions. One is to create jobs which these three are in. The other is how to adapt the potential employees for the jobs being created. The question is whether to choose the first or the latter.","Labour market",76,438
"1120"," I think about globalization, that we might have great wage inequalities in the world too, and then the politicians have to take an active part internationally to prevent exodus of tax payers. Make sure that you cant be a non-taxpayer if you work of Google, Microsoft, that type of thing. Make an international framework to prevent people from hiding from tax. If Norwegians spend money, it should be taxed in Norway and not a country","Econ. Inequality",76,439
"1121"," Then your industries are  are we meant to invest in our own young people.  So it is a cost issue.  So as a government, you are thinking okay, if you want to do this, this is the criteria you have to meet so then the private sector or industries are going to think, hang on, this investment we are making here, which is short term, are we better investing in to a more skilled younger work force.","Immigration",85,439
"1122","I strongly disagree with Anders because I think it creates inequality in society. If you're unemployed you're not just poor in that period, but for the rest of your life. If you educate yourself then you'll also be poorer than those who start working right away. It creates inappropriate incentive structures and it will also result in increased inequality for those who don't have a job. I think there are some fundamental problems there.","Generations",74,439
"1123","  for the past four or five years now. So I trained into that and I'm still getting training, like we go every week or so, every once a while and we do this training, and now I'm into a different career altogether. And I started that four or five years ago.","Labour market",86,439
"1124"," it doesnt really make much sense does it, because most companies have pay bands anyway to be quite honest, so it doesnt matter who you recruit it is already advertised that your starting band is this amount, goes to whatever amount and then you've got your increments or with the potential of X amount.  So, most companies do have the pay band advertised, starting salary, so it doesnt really depend in actual fact .","Gender",76,440
"1125"," But in my generation, its not the case at all that in my career choices, men and women have different choices only based on gender role image. I dont see that at all. Of course a woman can be a pilot like any man. How this comes out in practice is another question, but this idea is not one my friends and I have. Also not this idea that a woman has to stay home and be a mother. The man could also stay home. It can be equal and fair.","Gender",92,441
"1126"," Yes, it should be something like an unconditional basic income. I dont think we can get around that, its just a question of whether we can afford to do that alone here in Germany, and Im very skeptical about that, because actually there must be a global solution, but were not going to be able to achieve that, because people wont be able to agree to something like that all together. Were going to hit a wall with this either way.","Generations",82,441
"1127","  I am absolutely in favour of many things being privatised. But they must operate according to the same conditions, the former and the latter. This means that something must be taken from the state ones and provide something to the others. Otherwise I believe that no employer would take his request to a private agency and once again pay what had already paid through the contributions to the state for a service which was not provided.","Labour market",77,441
"1128"," Yes, thats what were saying when were talking about education is to give these young people the skill set.  And, you talked, I mean, I spoke to someone who works at British Telecom, , he said, their thinking is, you know, Im in it for the next two years.  He said, I dont think this Government will invest in the next 25 years.","Econ. Inequality",76,442
"1129","  With the approach and the selection youre already preserving your culture, Id say. So, highly-educated workers will probably have an easier time adjusting, assimilating, than an unqualified, tribal person. To avoid defining him. Because then, preserving the defining aspects of our nation, our culture, our way of life, is different, if we dont put a grading system, well accept everyone and well be global or however thats called.","Immigration",69,442
"1130","  Can I just highlight that we probably have this apparent equality. Because if you look at it, when a woman is choosing a job, is opting for a job, they give her a bunch of papers to sign; that she wont decide to have a child in 5 years, in 10 years, that she wont do this, that she wont do that... a bunch of demands. And what happens? The birth rate is declining? Mothers start thinking when theyre 40, oh, perhaps Id have a child.","Gender",87,442
"1131","We can't do anything about those who are here already, but going forward. As it becomes harder to get benefits. I also believe that the Syrians who come here are highly educated and would like to work. If the majority are a resource, then a few 85-year-olds won't eat into the system enough to make them a burden. In the future there will be far fewer who are able to cheat the system than 10 years ago, because back then it was easy, I agree.","Immigration",85,443
"1132","The moment a person has absolutely has no working life left. It should be a last resort to give up on people in that way, for their own sake too. We must find a place where the curve snaps. If a man is mentally ill and kills three people at work then he needs to go of course. But if he has impaired lung function then maybe he can have a desk job, so let's try to adapt the work to them. We mustn't abandon people other than as a last resort.","Labour market",92,443
"1133","  Number two, there is a catch to keep a person on the job? It is possible for the employee to actually sue the employer, but it always turns out that people resign by themselves and by doing so they are not entitled to any compensation at the Employment agency. So here, the state should intervene in order to protect the employees, so that it would not be possible to kick them out overnight, so that people would have more rights. There.","Labour market",82,443
"1134"," Its not well organized in general, overall. This has been a subject of discussion for weeks that no one has a plan, and if they do, its talked to death, and then 14 days later well meet againI know from my job, when we had a problem, we solved it on the same day, and did not just agree to meet again in 14 days. I see no long-term plan where I can see them saying they want to have things working this or that way by this or that time.","Immigration",92,444
"1135"," Yes, you can have postnatal depression or how youre going to feel about it, I think its different for a medical reason or something like that, which if you dont want to leave your kids, then maybe going down to part-time. Im not saying you have to go to fill-time. You still are able to give the company something back from what youve pulled back out of it. You get a loan and you have to pay it back, havent you, if that makes sense?","Gender",86,444
"1136"," But its two different immigration system if you look at it because you have people who are running from torture and killing.  Then you have people just coming because of the easy life and  the benefits.  So the government need to look at the people in crisis what are we doing to help them?  How are we going to help them?  How are we going to help them when they come and then help them to go back and live decent lives?","Immigration",85,445
"1137"," First of all, language courses, certainly. Then they can get some training, job training, education, and express what exactly they want to do. And once you have school, work and profession taken care of, then youve more or less integrated them so that they can pay into the welfare systems. This whole package must be organized so that it can run this way in order to get these immigrants the best possible state so they can integrate here.","Immigration",79,445
"1138","  My colleagues at work are very resourceful, quite a few of them are single, and they are as old as 38, because they are building a career, because their boss is a woman, who does not care at all if one has a child, or does not have any affinity towards it, because she always had enough money to pay for a nanny. Yes, but they are resourceful, they have male work colleagues, who change the bulbs in the car when they bring the car to work.","Gender",88,445
"1139"," The thing is, if you take a look at the map of Norway you see coastline all the way. We are perfectly adapted for coastline. We are world class when it comes to coastline. But agriculture you have very little, and with the global situation today with limited food resources, it is very important to make use of the food resources where you can. The alternative is inhabitants leaving the rural districts, and then again we get unemployment.","Labour market",79,445
"1140"," I think potentially on the pay, there needs to be a stronger law on like for like pay. I think at the moment its too easy for two people to do the same job to have a big pay, whether its male or female, or male and male, theres still a huge gap in like for like work within companies and its not brought down on hard enough, and that can be down to time of service, and it should be taken into consideration so having a fine or something.","Gender",91,446
"1141"," What Im talking about is that in Norway a family income is about 500<a0>000 today. If you look at the difference between those who are at 90 percent and those who are at 10 percent, the difference between them is about 150<a0>000 kroner in Norway today. That is a relatively low difference. The lowest earn maybe 425<a0>000 and the highest 550<a0>000, in family income. That difference is regarded as very low. The question is if it should go up or down?","Econ. Inequality",82,447
"1142","  For them not to be pushed to the margins of society and not be left all by themselves. Alone and pushed to where they are a burden, their children are also busy working and cannot care for them. Or perhaps the elderly live far away. The route Ljubljana  Maribor for example, it's difficult to travel to Maribor every day, and yet they need so little. See, if one is 80 years old, it's difficult for him or her to leave the house alone, it's","Generations",86,447
"1143","  Right, but if the labour market is to be flexible, there is a mirrored visions, to say, so, you are screwing me over, bye-bye, I'm going somewhere else. If it is flexible. You were talking about one aspect of flexibility. From the employer's point of view. The rest of us are however left as sheep waiting to be cut. That's what we actually are, but mainly because there are too many sheep shearers. If the situation was the other way around","Labour market",82,447
"1144"," A good approach would be to make this more transparent so everyone could see how its working, and this would create more awareness in the society, and then hopefully some opposition would be organized to address these conditions. Its not so well-known. You hear things or assume things, but if it were transparent and everything were open, then the facts would be laid out on the table, and we could decide whether we want it this way or not.","Econ. Inequality",80,448
"1145"," Well, if youre going to go on maternity, the companys going to pay maternity pay, I think there should be a contract in the effect that a woman has to come back for the next 12 months anyway and then  because its not fair, really, for the companies that have to pay nine months or eight months maternity pay and after a year the terms were there youre going to come back and then you just sayI dont think thats right.","Gender",84,448
"1146"," It is the pension age, it has to go up, because the number of working-years has to go up. As long as we keep getting more higher education, the number keeps getting smaller and smaller. The pension has to be age adjusted. It is already in planning. Passed in the Storting. Want to strike a blow for merging municipalities, because that is mainly where geriatric care is done. We have to make everything not related to healthcare more efficient.","Generations",80,448
"1147"," Maybe the problem is that a judgement is happening in the first place. One person says youre not good, I dont like your nose, and that happens from the start. Because people make these judgements about one another fright from the beginning. People are put into categories and put on a particular shelf, and we say youre too short, you cant get in. Then that is where we get this result that one person is rejected in the interviewing process.","Econ. Inequality",81,450
"1148","  Well, perhaps. I don't know how to determine the classification. On the losing side, perhaps no one has to be on the losing side, if the classification of brackets is such that the second bracket, which is currently very expanded, would be a bit more distributed. Those who have more, are already paying and this is how it should stay, while it is the tax that needs to be lowered, the taxation of those with the lowest income should be lowered.","Econ. Inequality",82,450
"1149","There are many ways of looking at immigration. If we look at the US at the end of the 19th century, no-one would look at it as a strain...we look at it that way because we have a welfare system which essentially seems racist on the basis of those born in Denmark. If we instead looked at immigration as an influx of resources... What we see is that these resourceful people, who flee from Syria to Denmark, they're not the most disadvantaged Syrians.","Immigration",83,450
"1150","   But there is certainly a difference, as madam said, that there is progress, particularly because they know that a man  I'll tell you my experience, I was asked if I would be willing to take over a work place, I would be promoted, and I was told directly, that they wanted to hire a man, because the boss said I can rely on one 24/7. Women are still considered the ones who will care for the family, the home, children, and so on. Even though","Gender",88,450
"1151"," The thing is, though, with that I agree completely with your point because we will all be disadvantaged in the short term.  In the longer term, we will have a society, I'm thinking of this probably a bit ideally, but we would have a society where everything is actually regulated and we actually know the true cost of everything.  So, whilst we would be disadvantaged in the short term, in the long term, everything will be recorded and regulated.","Immigration",80,451
"1152"," Its also important to have controls from the state, because there was a senior home from AWO, and they decided to change it over to a home for refugees, because you get more money from the state that way. Things like that  also with the housing market and normal renters who are forced out so that they can house refugees there, or closing hotels like in Berlin so they can turn it into a refugee home. The state has to monitor and control this.","Immigration",86,451
"1153"," We shouldnt even question it then, those are the kind of things Im talking about. I started a job as a doctors assistant, and the first person who came in complained, and since then, theyre called medical technical assistants. You know? So what does it mean to be a man? What does it mean to be a woman? How do the children fit in, mother, father, family, etc. Im talking about rethinking all of this and maybe coming up with different ideas.","Gender",83,451
"1154","Can't we turn that around? If we talk about quality of life and say that one of the most important things is to create some housing cooperatives for older people, particularly by building different types of housing but also secondarily. I'm thinking...because I remember that my grandmother...it was because she enjoyed spending time with the people she volunteered with. So that's also something related to quality of life which has a social benefit.","Generations",73,451
"1155","We can't. We would like to recommend keeping the Danish labour market model which ensures that everyone gets paid the same for the same work. Same as with refugees being employed at reduced wages. It's the same thing. There's a wide range of professions where there's a high proportion of foreign workers: bus drivers, cleaning etc. Perhaps we shouldn't call them unemployed, because they're between jobs. In the US they use that term, 'between jobs'.","Labour market",75,451
"1156","  We are most of all not talking about competence. But a woman can't be, I'm saying a woman  who drives the kids to school, to the kindergarten, who  mostly, again mostly  who drives them to afternoon activities? It's mostly women, sorry to say it. This is not my case, in my case we are equal, and I take the kids, I pick them up and I cook and clean up and everything. It's a bit different with younger generations. With older ones, it's still","Gender",88,452
"1157","We must beware of making exact calculations on that. How long can an older person remain in their own home? My parents-in-law are 92 and still in their own home. We do the washing and cleaning. They're managing, but it won't last. And of course we help, but that also means that they haven't been declared suitable for domestic assistance. They live in Copenhagen, but if they had lived in <c5>rhus then it wouldn't have been possible with regard to duty.","Generations",81,452
"1158"," My problem is that youd get a different story from businesspeople or economists, and you get different input from them, so its difficult to try to come to an objective opinion on this. Of course you could formulate this as pay limits for managers, but Im not so sure if I want to formulate it in this way. Im just trying to give voice to some of these ideas one hears that a salesperson at Karstadt compared to our VW manager who earns millions","Econ. Inequality",85,453
"1159"," I think that one has to focus on whats happening in the country before thinking about the immigrants who do or do not come. Some talk about the youth today. We have never had better youths. These boys do their homework, spend time with the family, almost never go out, never get high. They are as good as can be. But they are the ones to struggle psychologically more than ever. The youth today will grow old long before the ones who are old today.","Generations",86,453
"1160"," There are two definitions to keep apart when we talk about this: Immigration for asylum, temporary asylum, I mean temporary stay; refugees with a return. And then there is Immigration. If we are talking about immigration it is permanent stay in the country. We have to introduce systems of selection similar to the ones they have in Canada and Australia for example, where they set a quota and say that at least 85 percent should be in class 1 and 2.","Immigration",82,454
"1161","  I also think that it needs to be kept in mind, the employer to make me an offer. Sometimes I feel like thats the other way around, so Im on the labour market, Im collecting offers and Im deciding where Ill go as a worker. And it shouldnt be self-evident for the employer that they can have me for any price. So, raising these standards. I wont be working for any price, hes the one that should provide an offer. I dont know how to put this.","Labour market",88,454
"1162","It's almost impossible to even things out between men and women, between those who earn the most and those who earn the least. I agree that it's unequal when people do the same work. I'm a municipal employee. If my boyfriend becomes employed in the private sector then there's simply going to be a discrepancy and there's nothing the state can do about it. Even if he had the same educational background as me he would be able to earn more as a consultant.","Gender",84,456
"1163"," But the problem is that you need to animate people to want to have more children so that there are more people paying into the system. Those that pay will have damn high contributions to the retirement pension fund, and that is increasing. Im sure youve seen that. Its not just that older people get less in pension or lower buying power because of lack of pension increase, but also that the younger people are paying more and more into the system.","Generations",83,456
"1164"," There is however a growing number of people who really pay attention to these things. Fair trade or moral consumption. Its a growing number. If were talking about 2040, the internet generation will be in full bloom. Theyre fit as a fiddle with regard to this. The older ones are a little more reserved, but the next generation are looking on the internet to see how their pullover is manufactured, where it comes from and whether they want to buy it.","Econ. Inequality",82,457
"1165","That's actually what I tried to say in the beginning, because there is no correlation between inequality and the welfare state. I agree that a progressive tax system like ours is a good thing. That's what you're talking about. What we're talking about is redistribution and not inequality. It's not a question of how wide the gap is from the bottom to the top. It's a matter of how much you take from the top and put into the system to safeguard the bottom.","Econ. Inequality",84,457
"1166"," For me a major question is who is doing the educating and clarifying? Should the official agencies explain this? The teachers in school may not understand all of this themselves. Maybe they need to work together, teachers, students, official agencies, the refugee camps and so forth. Maybe have refugees come into the school and talk about their lives and whats happened to them, so that they see its a real person and not just a number in statistics.","Immigration",79,457
"1167","  I think that by 2040, Id want for the family to have the option to decide, the option to have a normal life with one parent being at home. Even though that doesnt completely fit under equality, but at the moment, its something you cant even think about. In so and so many years I wish the standard was high enough that I could afford being home with the children, raising the quality of life significantly and at the same time having a normal life.","Gender",86,457
"1168","  I think the more you have, the more you spend. That needs to be stressed, that with this recession, what happened was... the less you have, the less you spend, and the economy in the country is worse off and the wages are consequently lower, more unemployed. Thats already being discussed in politics. Encouraging spending. Because its a fact, that at least something, when you have more, you take things a bit more easily, you treat yourself to more.","Econ. Inequality",80,458
"1169","I think we'll go on looking after ourselves, remaining in our own homes for as long as possible.  That will become much more developed. You'll only go into care at the terminal stage. It's paradoxical that in a global society where we're increasingly distant there's this expectation that I'm supposed to look after my daughter's children. I would recommend as much self-care as possible, but also that care is needed when you can't cope on your own anymore.","Generations",78,458
"1170"," Yes that's what I mean, they have to have a certain amount of people  that's a good way of doing it like, you know, like improving this  not from another country so that people here get more chance of earning.   Also I put down about high earners  the high earners are the ones that are pretty much in the finance sector, and they are the people that actually helped us to actually get into the recession, if you remember with the banks and everything.","Econ. Inequality",88,459
"1171","I have some foreign friends who come from western countries and they've really struggled to come to grips with the Danish system. When they come here they go to social services where they get information, a social security number and a bank account. But after 3 years there are still a lot of things that they don't understand. The tax system for example. We must make it easier for them when they're in the process of integrating. Perhaps give them a manual.","Immigration",82,459
"1172"," Because adults learn by doing, don't they? So do kids. They learn by experience. So if you've got people that have got that experience, that knowledge, and you go back to plumbing and electricians. The best ones I've come across are 40 plus, because they've got that experience, they've seen and done everything. So having those people in technology colleges and schools to show kids how things are done and how things aren't done I think would be really","Labour market",80,459
"1173"," As many as possible employed. The whole point with a working life is that we need these hands. What we do should lead somewhere. Lead to employment and the goods we need. Start up a business and make it profitable to run a business so that we actually help society to make use of the hands we actually have. Get the goods that we want. I feel that it is connected. Make sure to start the businesses who run sustainably and that help people in the society.","Labour market",88,459
"1174"," With education, I dont see it as a gap between rich and poor, I see it as its a mentality .  I think a lot of people feel that theyre hard done by, and have less opportunity.  If you provide a better education system which equals this out and gives everybody the same opportunity, and until the decision making time, you know, if everyone is given an equal start in employment and in life, I think.","Econ. Inequality",87,460
"1175"," I would personally say for those people who worked before or afterward who have taken a break from work, that they are not disadvantaged; but for those who have never worked and never had any intention of working, then you cant just blame it on the children that you never worked if you never were going to work anyway. Its unfair that the person who never worked gets a higher pension than those who only took a few years off for the childrearing years.","Gender",85,460
"1176","When got my degree in IT a million years ago Bertel said there was a shortage of IT people. Then all of a sudden the labour market was swamped with people who felt that they had the same qualifications as us, even though we had gone to the Technical University of Denmark and they hadn't. And the employer found himself asking what he people with degrees for. The result was that suddenly 80% of people with that type of educational background were unemployed.","Labour market",83,460
"1177"," There are parents who dont want their children to go to school because of for example culture. As I said, the number is of course much lower than those who drop out of upper secondary school, but it is still as important. If one starts there already, one doesnt have a very good foundation to carry on. Write primary and lower secondary school instead, it takes more people into account. Im not only thinking about those who attend upper secondary school.","Econ. Inequality",82,461
"1178"," I would suggest several measures. One thing is to raise the salary. Another thing could be to lower the costs. I see it both in cities in Norway and bigger cities abroad that low-paid jobs like nurses, teachers, police, the ones who offer services that benefits society, cant afford to live in the cities anymore. To offer houses at a lower cost than what we see today could be a public measure to even out the disparities because of the wage inequalities.","Econ. Inequality",83,461
"1179","I'm on Twitter and I've started to follow an American account called ""What men do"". They take chauvinistic statements and insert the word 'man' into then. I've nothing against politicians, so long as they don't just look out for men's interests. It's a fun way to take the things you sometimes hear yourself say and turn them around 180 degrees. It's those little things you might find yourself saying ""well, you need to remember to look after my interests too"".","Gender",70,462
"1180","I didn't live here in the 70s and 80s. But I've learned that there was more immigration back then, and people were given asylum for unrealistic reasons. The system has been too generous. A large proportion of those who have been given asylum maybe didn't deserve it. They've come to Denmark because they've heard about the social benefits, that you can live in luxury and make money. Many are kind of a burden on society. Now they've tightened up the asylum system.","Immigration",82,465
"1181"," I think the NHS should also give something back, the reason why I say that is because the doctor writes a prescription, <a3>8 or something, it could just be paracetamol. Thats robbery, so the NHS does cost money, regardless, we dont see that money where the NHS makes, because how could a doctor write a prescription for the price of something, <a3>8, which you can get for <a3>1 from anywhere. Even if they said to you, its best to go buy this .","Generations",85,465
"1182"," Its not actually holding the pot, isnt it? Its giving you more money when you retire but its still going to be in the same situation where they cant afford to pay the pension, so if youre going more private then thats kind of deducted from what you pay in your National Insurance but then how much will you be able to claim on your pension when it comes to your retirement, because youve got it anyway but its just taking a load off the government pot.","Generations",88,466
"1183"," The problem is that more and more companies, Tesco, Waitrose, Ocado, John Lewis, all the big companies that sell online, every online retailer will have zero hour contract contracts, because its seasonal work so its impossible with the prices that we will pay as consumers to get stuff as cheap as we want it, its impossible to keep 10,000 or 11,000 people working all year when your busiest time is in four months or three months or ten weeks or two months.","Labour market",83,466
"1184"," The big problem though is essentially the large number of people who are coming here. And with the system and setup we currently have, this is just not something we can resolve at the moment. Thats just the way it is. And now we have to try and find a way to resolve it. We try these make-shift options like reinstating retired people who used to be active in this type of job, but its not working. We have to bring people into this who will try and organize it","Immigration",91,467
"1185"," Of course. Like when we talked about the other topic of work and occupation, this is all connected. When were now talking about work and family, that is one aspect, but earning money and work is another. And trying to make this connection, I have to try and be fair to each side of the equation. Its always a compromise in the end. I cant just say Ill work less and spend time with my family, but I want to earn a lot. It cant work. Its always a compromise.","Gender",91,467
"1186"," Mine is only one idea, I think theres probably quite a few, but were still paying state pension to multi-millionaires, and people that earn significant amount of money in private business.  If we were to say, because weve got, from what people earn, weve got that information within HMRC.  So, you could means test pensions, fairly straightforward, youve earnt this amount of money throughout your working life, were not going to be paying you state pension.","Econ. Inequality",77,468
"1187"," Looked at statistically, correct me if Im wrong, but arent women more often off sick than men? Because of physiological and anatomical preconditions? And therefore there is this risk so to say, thats how the employers refer to it, that shell get pregnant, which cannot happen to a man. This has to do with planning security, and therefore in some firms this is calculated into wages. Those are the reasons. I dont think its so much to do with mental reasons.","Gender",82,468
"1188"," Thats what Im saying, you have to do it between 20 and 25, so when you reach 50 if you haven't done it its your own fault really, I know it sounds bad.  But, obviously, a 50 year old is not going to be able to make up another 25 years of pensions, they would get the state pension so start paying their own, thats what I think.  Its a new generation, its only now, and then obviously that money could go to education, and stuff like that .","Econ. Inequality",91,469
"1189"," It comes back to the Government throwing money at the problem rather than tackling the actual problem. And it's just I understand the solution, but it sounds like the pay for tuition fees for university full well knowing that in 25 years' time no matter how much you've paid off it's cancelled out anyway. You're going to get to the same point whether you've thrown money at something, actually putting the Government into more debt because of it in the long term.","Labour market",83,469
"1190","  Demographic developments are not in favour of the elderly in any of the groups. The less children there are, more elderly persons and active popul, there will be less active population. So higher pensions cannot realistically be expected and this is something the state should be encouraging, next, taking responsibility for oneself, so, if a person in active age should be making savings, to contribute to his or her benefits, something extra to add to the pension.","Generations",78,472
"1191"," I think the pay balance is one of the biggest problems in the country and once you get that right, it will be good. When you hear some people, hes been sacked, and hes been paid so much millions, how could somebody be sacked and be paid so many millions? If somebody is sacked because theyve done something wrong, lock them up, simple as that. If Id done something wrong, Im going to be locked up. These people, whether its an MP doing it or a big magnate from","Labour market",90,472
